parent_taxon_id,taxon_id,rank_level,leaf_class_id,name
,-1,70,1021,background
,1,70,,Animalia
1,47120,60,,Arthropoda
47120,372739,57,,Hexapoda
372739,47158,50,,Insecta
47158,184884,47,,Pterygota
184884,47208,40,,Coleoptera
47208,71130,37,,Polyphaga
71130,372870,35,,Staphyliniformia
372870,48311,33,,Staphylinoidea
48311,53849,30,,Silphidae
53849,204079,27,,Nicrophorinae
204079,53850,20,,Nicrophorus
53850,147457,10,0,Nicrophorus tomentosus
53850,84437,10,315,Nicrophorus orbicollis
53849,503862,27,,Silphinae
503862,81747,20,,Necrophila
81747,81746,10,678,Necrophila americana
48311,47951,30,,Staphylinidae
47951,359911,27,,Staphylininae
359911,359910,25,,Staphylinini
359910,373906,24,,Staphylinina
373906,53870,20,,Ocypus
53870,1270925,15,,Ocypus
1270925,53869,10,612,Ocypus olens
71130,372852,35,,Cucujiformia
372852,176269,33,,Chrysomeloidea
176269,51146,30,,Chrysomelidae
51146,245843,27,,Galerucinae
245843,373841,25,,Luperini
373841,461899,24,,Diabroticina
461899,154288,20,,Acalymma
154288,154287,10,3,Acalymma vittatum
461899,55488,20,,Diabrotica
55488,55487,10,778,Diabrotica undecimpunctata
55487,201568,5,635,Diabrotica undecimpunctata undecimpunctata
51146,154472,27,,Chrysomelinae
154472,1162208,25,,Doryphorini
1162208,335544,24,,Doryphorina
335544,82583,20,,Labidomera
82583,82582,10,75,Labidomera clivicollis
335544,84189,20,,Leptinotarsa
84189,84778,10,381,Leptinotarsa decemlineata
1162208,373854,24,,Chrysolinina
373854,61902,20,,Chrysolina
61902,962548,15,,Chrysolina
962548,318965,10,948,Chrysolina bankii
154472,791508,25,,Gonioctenini
791508,373895,24,,Paropsina
373895,208609,20,,Trachymela
208609,208608,10,797,Trachymela sloanei
51146,52064,27,,Cassidinae
52064,373656,25,,Cassidini
373656,132212,20,,Deloyala
132212,132210,10,122,Deloyala guttata
373656,253113,20,,Helocassis
253113,310171,10,454,Helocassis clavata
51146,357454,27,,Eumolpinae
357454,468345,25,,Eumolpini
468345,84163,20,,Chrysochus
84163,84162,10,279,Chrysochus auratus
84163,119881,10,815,Chrysochus cobaltinus
372852,963992,33,,Cerambycoidea
963992,47961,30,,Cerambycidae
47961,50265,27,,Lamiinae
50265,503968,25,,Lamiini
503968,82044,20,,Monochamus
82044,740173,15,,Monochamus
740173,82043,10,14,Monochamus scutellatus
503968,205778,20,,Plectrodera
205778,205777,10,101,Plectrodera scalator
50265,528867,25,,Tetraopini
528867,81549,20,,Tetraopes
81549,118559,10,503,Tetraopes tetrophthalmus
47961,321450,27,,Lepturinae
321450,373727,25,,Lepturini
373727,131863,20,,Typocerus
131863,131862,10,84,Typocerus velutinus
373727,62320,20,,Rutpela
62320,62321,10,637,Rutpela maculata
373727,332244,20,,Lepturobosca
332244,332243,10,994,Lepturobosca chrysocoma
47961,319102,27,,Prioninae
319102,528665,25,,Prionini
528665,143663,20,,Orthosoma
143663,143662,10,225,Orthosoma brunneum
528665,59893,20,,Prionus
59893,739037,15,,Prionus
739037,59892,10,817,Prionus californicus
319102,528667,25,,Meroscelisini
528667,377802,20,,Prionoplus
377802,395569,10,295,Prionoplus reticularis
319102,1168176,25,,Mallodonini
1168176,252109,20,,Mallodon
252109,269875,10,686,Mallodon dasystomus
47961,321500,27,,Cerambycinae
321500,339436,25,,Clytini
339436,83803,20,,Megacyllene
83803,83802,10,237,Megacyllene robiniae
372852,471714,33,,Coccinelloidea
471714,48486,30,,Coccinellidae
48486,333790,27,,Coccinellinae
333790,373697,25,,Epilachnini
373697,154560,20,,Epilachna
154560,319695,10,21,Epilachna mexicana
