id,name
1,Halyomorpha halys
3,Acalymma vittatum
20,Hyles lineata
22,Hemileuca eglanterina
28,Hermetia illucens
35,Dolichovespula maculata
40,Automeris io
59,Chrysodeixis includens
77,Anisota virginiensis
87,Battus philenor
94,Euborellia annulipes
101,Plectrodera scalator
104,Adalia bipunctata
114,Aedes albopictus
122,Deloyala guttata
131,Camponotus pennsylvanicus
137,Hylephila phyleus
142,Platynota idaeusalis
150,Limenitis archippus
159,Plodia interpunctella
178,Cydia latiferreana
204,Chinavia hilaris
211,Hyalophora euryalus
212,Pontia protodice
235,Lerodea eufala
236,Periplaneta americana
237,Megacyllene robiniae
238,Dynastes tityus
239,Urbanus proteus
240,Utetheisa ornatrix
246,Anagrapha falcifera
247,Xylocopa virginica
250,Siphanta acuta
269,Anax junius
282,Megalopyge opercularis
284,Melittia cucurbitae
290,Pyrrharctia isabella
292,Trimerotropis pallidipennis
297,Diapheromera femorata
309,Nezara viridula
324,Lygus lineolaris
333,Linepithema humile
337,Pantographa limata
343,Polyphylla decemlineata
369,Dactylotum bicolor
373,Sphecius speciosus
376,Tremex columba
377,Orgyia antiqua
379,Daphnis nerii
381,Leptinotarsa decemlineata
383,Spoladea recurvalis
392,Alypia octomaculata
394,Manduca sexta
416,Vespula germanica
425,Schizura unicornis
427,Poecilocapsus lineatus
439,Agrotis ipsilon
443,Prosapia bicincta
444,Prionoxystus robiniae
451,Spilosoma virginica
455,Megaphasma denticrus
460,Bombus fervidus
461,Bombus bimaculatus
472,Hymenia perspectalis
488,Helicoverpa zea
491,Darapsa myron
492,Hypena scabra
494,Corydalus cornutus
500,Parapediasia teterrella
502,Manduca quinquemaculata
503,Tetraopes tetrophthalmus
518,Boisea rubrolineata
519,Boisea trivittata
521,Desmia funeralis
526,Ascalapha odorata
529,Ceratomia catalpae
531,Vespula squamosa
536,Schistocerca americana
542,Spodoptera ornithogalli
544,Hyphantria cunea
551,Bombus impatiens
554,Diaphania hyalinata
559,Atta texana
561,Udea rubigalis
574,Vanessa atalanta
582,Choristoneura rosaceana
598,Leptoglossus phyllopus
601,Nymphalis californica
606,Phyllodesma americana
608,Brephidium exilis
623,Feltia jaculifera
639,Apamea amputatrix
643,Bombus ternarius
669,Stagmomantis carolina
679,Pseudomyrmex gracilis
685,Dissosteira carolina
695,Halysidota tessellaris
696,Otiorhynchus sulcatus
697,Datana ministra
704,Harrisina americana
706,Microcentrum rhombifolium
711,Bombus griseocollis
717,Melanoplus bivittatus
720,Bombus vagans
731,Pogonomyrmex barbatus
735,Chortophaga viridifasciata
747,Caenurgina crassiuscula
757,Melanoplus differentialis
758,Caenurgina erechtea
760,Mythimna unipuncta
761,Nepytia canosaria
775,Calpodes ethlius
777,Sabulodes aegrotata
787,Acronicta americana
789,Oncopeltus fasciatus
801,Pieris rapae
814,Eristalis tenax
826,Agrius cingulata
827,Estigmene acrea
832,Grylloprociphilus imbricator
835,Tyria jacobaeae
838,Magicicada septendecim
842,Lymantria dispar
851,Plutella xylostella
854,Actias luna
855,Antheraea polyphemus
857,Anisomorpha buprestoides
868,Uresiphita reversalis
881,Sceliphron caementarium
882,Dryocampa rubicunda
898,Romalea microptera
901,Lampides boeticus
903,Panchlora nivea
907,Halmus chalybeus
918,Achyra rantalis
923,Homalodisca vitripennis
925,Harmonia axyridis
926,Odontotaenius disjunctus
930,Cotinis nitida
934,Brachystola magna
938,Vanessa cardui
939,Vanessa virginiensis
943,Murgantia histrionica
947,Eumorpha achemon
950,Agriphila vulgivagella
951,Nymphalis antiopa
952,Vespula pensylvanica
954,Danaus plexippus
958,Bombus pensylvanicus
967,Callosamia promethea
968,Hyalophora cecropia
969,Anisota senatoria
970,Citheronia regalis
971,Eacles imperialis
972,Nematocampa resistaria
973,Lacinipolia renigera
976,Orgyia leucostigma
982,Evergestis pallidata
983,Noctua pronuba
987,Anthrenus verbasci
988,Alaus oculatus
990,Arilus cristatus
992,Neophasia menapia
997,Malacosoma americanum
1007,Autographa californica
1009,Malacosoma californicum
1011,Epargyreus clarus
1013,Polistes dominula
